"product_id","product_name","product_type","product_line","launch_date","msrp","primary_supplier_id","is_active","product_id_clean","primary_supplier_id_clean","launch_dt","is_launch_date_bad","msrp_num","is_msrp_bad"
PRD-66155,Headphones Pulse 700,Headphones,Mid,"2023-12-22",264.69,SUP-131244,0,PRD-66155,SUP-131244,2023-12-22 00:00:00.000,0,264.69,0
PRD-24371,Headphones Pro 300,Headphones,Mid,"2019-05-27",221.73,SUP-460663,1,PRD-24371,SUP-460663,2019-05-27 00:00:00.000,0,221.73,0
PRD-71348,Headphones Wave 500,Headphones,Mid,"2024-01-26",295.19,SUP-771088,1,PRD-71348,SUP-771088,2024-01-26 00:00:00.000,0,295.19,0
PRD-99353,Headphones Wave 500,Headphones,Entry,"2019-12-22",201.04,SUP-391369,1,PRD-99353,SUP-391369,2019-12-22 00:00:00.000,0,201.04,0
PRD-10425,Headphones Nova 500,Headphones,Premium,"2022-11-10",616.38,SUP-816751,1,PRD-10425,SUP-816751,2022-11-10 00:00:00.000,0,616.38,0
PRD-49117,Headphones Shield 900,Headphones,Premium,"2024-04-26",855.31,SUP-329258,0,PRD-49117,SUP-329258,2024-04-26 00:00:00.000,0,855.31,0
PRD-10074,Headphones Pulse 600,Headphones,Mid,"2023-07-06",239.39,SUP-719176,1,PRD-10074,SUP-719176,2023-07-06 00:00:00.000,0,239.39,0
PRD-41385,Headphones Quiet 400,Headphones,Entry,"2021-08-13",230.81,SUP-809570,1,PRD-41385,SUP-809570,2021-08-13 00:00:00.000,0,230.81,0
PRD-79822,Headphones Pro 300,Headphones,Premium,"2019-08-04",642.0,SUP-479201,1,PRD-79822,SUP-479201,2019-08-04 00:00:00.000,0,642.0,0
PRD-65461,Headphones Max 900,Headphones,Premium,"2024-02-28",662.84,SUP-974628,1,PRD-65461,SUP-974628,2024-02-28 00:00:00.000,0,662.84,0
PRD-95180,Headphones Studio 800,Headphones,Premium,"2024-09-17",554.86,SUP-946335,1,PRD-95180,SUP-946335,2024-09-17 00:00:00.000,0,554.86,0
PRD-12757,Headphones Pulse 900,Headphones,Premium,"2021-11-16",511.35,SUP-835392,1,PRD-12757,SUP-835392,2021-11-16 00:00:00.000,0,511.35,0
PRD-40007,Headphones Ultra 100,Headphones,Premium,"2019-07-02",752.92,SUP-207473,1,PRD-40007,SUP-207473,2019-07-02 00:00:00.000,0,752.92,0
PRD-38080,Headphones Wave 300,Headphones,Mid,"2023-02-17",268.62,SUP-684004,1,PRD-38080,SUP-684004,2023-02-17 00:00:00.000,0,268.62,0
PRD-63354,Earbuds Max 200,Earbuds,Mid,"2023-01-09",259.75,SUP-733052,1,PRD-63354,SUP-733052,2023-01-09 00:00:00.000,0,259.75,0
PRD-17100,Earbuds Shield 200,Earbuds,Mid,"2025-03-15",301.78,SUP-319684,1,PRD-17100,SUP-319684,2025-03-15 00:00:00.000,0,301.78,0
PRD-35112,Earbuds Max 900,Earbuds,Premium,"2021-02-11",829.84,SUP-460663,1,PRD-35112,SUP-460663,2021-02-11 00:00:00.000,0,829.84,0
PRD-68082,Earbuds Wave 200,Earbuds,Premium,"08/23/2019",630.31,SUP-748564,1,PRD-68082,SUP-748564,2019-08-23 00:00:00.000,0,630.31,0
PRD-40982,Earbuds Pro 700,Earbuds,Entry,"2025-05-30",244.35,SUP-781453,1,PRD-40982,SUP-781453,2025-05-30 00:00:00.000,0,244.35,0
PRD-59672,Earbuds Quiet 700,Earbuds,Entry,"2020-05-26",234.37,SUP-738720,1,PRD-59672,SUP-738720,2020-05-26 00:00:00.000,0,234.37,0
PRD-82845,Earbuds Shield 800,Earbuds,Mid,"2024-12-04",270.31,SUP-895667,1,PRD-82845,SUP-895667,2024-12-04 00:00:00.000,0,270.31,0
PRD-81066,Earbuds Quiet 600,Earbuds,Premium,"04/04/2025",428.24,SUP-172933,1,PRD-81066,SUP-172933,2025-04-04 00:00:00.000,0,428.24,0
PRD-30635,Earbuds Quiet 900,Earbuds,Mid,"2023-07-09",428.85,SUP-127824,1,PRD-30635,SUP-127824,2023-07-09 00:00:00.000,0,428.85,0
PRD-62923,Earbuds Ultra 400,Earbuds,Premium,"2020-12-31",432.98,SUP-356787,1,PRD-62923,SUP-356787,2020-12-31 00:00:00.000,0,432.98,0
PRD-84085,Earbuds Wave 600,Earbuds,Mid,"2023-12-19",303.81,SUP-850800,1,PRD-84085,SUP-850800,2023-12-19 00:00:00.000,0,303.81,0
PRD-61876,Earbuds Pro 500,Earbuds,Mid,"2021-04-05",277.55,SUP-913694,1,PRD-61876,SUP-913694,2021-04-05 00:00:00.000,0,277.55,0
PRD-23104,Speakers Ultra 900,Speakers,Premium,"2023-10-16",709.58,SUP-717889,1,PRD-23104,SUP-717889,2023-10-16 00:00:00.000,0,709.58,0
PRD-42018,Speakers Studio 500,Speakers,Premium,"2019-08-02",573.5,SUP-271339,1,PRD-42018,SUP-271339,2019-08-02 00:00:00.000,0,573.5,0
PRD-79329,Speakers Quiet 900,Speakers,Mid,"2024-07-24",274.63,SUP-498591,1,PRD-79329,SUP-498591,2024-07-24 00:00:00.000,0,274.63,0
PRD-25129,Speakers Ultra 900,Speakers,Premium,"2021-04-01",838.06,SUP-106814,1,PRD-25129,SUP-106814,2021-04-01 00:00:00.000,0,838.06,0
PRD-93130,Home Theater Flex 900,Home Theater,Premium,"2024-11-05",570.44,SUP-440035,1,PRD-93130,SUP-440035,2024-11-05 00:00:00.000,0,570.44,0
PRD-65518,Home Theater Flex 100,Home Theater,Entry,"05/24/2024",106.62,SUP-779514,1,PRD-65518,SUP-779514,2024-05-24 00:00:00.000,0,106.62,0
PRD-67912,Home Theater Wave 700,Home Theater,Premium,"2020-05-17",888.9,SUP-719176,1,PRD-67912,SUP-719176,2020-05-17 00:00:00.000,0,888.9,0
PRD-81511,Home Theater Quiet 600,Home Theater,Premium,"2020-04-08",840.55,SUP-198246,1,PRD-81511,SUP-198246,2020-04-08 00:00:00.000,0,840.55,0
PRD-15229,Home Theater Studio 400,Home Theater,Mid,"2022-02-06",209.46,SUP-391476,1,PRD-15229,SUP-391476,2022-02-06 00:00:00.000,0,209.46,0
PRD-91351,Home Theater Nova 300,Home Theater,Premium,"2022-06-16",789.06,SUP-539898,1,PRD-91351,SUP-539898,2022-06-16 00:00:00.000,0,789.06,0
PRD-64040,Home Theater Quiet 300,Home Theater,Entry,"2020-07-04",245.43,SUP-456778,1,PRD-64040,SUP-456778,2020-07-04 00:00:00.000,0,245.43,0
