"review_id","review_date","customer_id","product_id","order_id","rating","review_text","source","language"
REV-920556563,"2025-03-04",CUST-512042,PRD-93130,ORD-8870301,3.0,PAIRING ISSUES WITH MY PHONE,web,en
REV-879817847,"2024-01-12",CUST-453894,PRD-63354,ORD-7798468,3.0,NOISE CANCELLATION IS UNREAL,retail_site,en
REV-874428899,"2024-08-18",CUST-797416,PRD-81066,ORD-4613739,3.0,Love it. overpriced tho,,en
REV-876228987,"2025-11-01",CUST-229592,PRD-66155,,3.0,Random disconnects after 20 minutes,retail_site,en
REV-756892379,"2025-02-13",CUST-575528,PRD-24371,,4.0,Build quality feels premium,app,en
REV-662196063,"2025-04-02",CUST-951201,PRD-94080,,4.0,NOISE CANCELLATION IS UNREAL,retail_site,en
REV-261771337,"06/26/2024",CUST-190403,PRD-66155,ORD-8281308,3.0,"Great for calls, mic is solid",,en
REV-535243876,"2024-03-09",CUST-656329,PRD-25906,ORD-8729143,3.0,Love it. overpriced tho,app,en
REV-272585479,"2025-01-18",CUST-119927,PRD-10074,ORD-8626658,4.0,Firmware update fixed the glitch,,en
REV-791382811,"05/25/2024",CUST-347745,PRD-68008,,5.0,Build quality feels premium,app,en
REV-250326789,"2025-06-29",CUST-499749 ,PRD-61876,,2.0,,web,en
REV-952409264,"2025-03-13",CUST-290305,PRD-99353,ORD-1351930,5.0,SOUND IS CRISP BUT BASS COULD BE BETTER,app,en
REV-459036052,"10/13/2024",CUST-919488,PRD-63354,ORD-5112582,4.0,Pairing issues with my phone,support_followup,en
REV-638037582,"2024-07-10",CUST-263137,PRD-23104,ORD-9221898,3.0,Pairing issues with my phone,web,en
REV-822158030,"2025-05-13",CUST-563187,PRD-23104,ORD-6777686,4.0,HOME THEATER SETUP WAS EASY BUT APP UI IS CONFUSING,web,en
REV-933344141,"2024-10-14",CUST-114338,PRD-23104,ORD-5992421,4.0,Build quality feels premium 🔊,support_followup,
REV-242036285,"2025-12-01",CUST-940010,PRD-68082,ORD-2936608,2.0,Home theater setup was easy but app UI is confusing,,es
REV-186309035,"2024-08-07",CUST-344762,PRD-44237,ORD-3696664,,Random disconnects after 20 minutes,retail_site,en
REV-682489439,"2025-02-26",CUST-943019,PRD-63354,ORD-2225424,4.0,,support_followup,en
REV-571178831,"2025-06-07",CUST-883826,PRD-59672,ORD-4841298,5.0,Love it. overpriced tho 🔊,support_followup,es
REV-972120636,"09/09/2024",CUST-245534,PRD-23104,ORD-3197505,4.0,Shipping box arrived damaged,retail_site,en
REV-892754329,"2025-09-23",CUST-727086 ,PRD-40982,ORD-9728020,3.0,,app,en
REV-716217115,"2024-12-29",CUST-342720,PRD-40982,,5.0,Pairing issues with my phone,app,en
REV-140716330,"2024-05-15",CUST-462831,PRD-59672,ORD-1888909,5.0,Love it. overpriced tho,web,en
REV-925084494,"10/18/2024",CUST-127032,PRD-25906,,4.0,Battery life is worse than expected,,
REV-966897421,"2025-03-05",CUST-706794,PRD-84085,ORD-3453718,3.0,DELIVERY WAS LATE. SHIPPING BOX ARRIVED DAMAGED 🔊,web,en
REV-375502998,"2024-10-23",CUST-563187,PRD-23104,ORD-6777686,5.0,Random disconnects after 20 minutes,web,en
REV-922647912,"2025-01-19",CUST-307963,PRD-79329,ORD-2420289,3.0,Battery life is worse than expected,app,en
REV-822043783,"2025-01-15",CUST-486814,PRD-42018,,4.0,,app,en
REV-981580451,"2024-09-04",CUST-534303,PRD-64040,ORD-9561622,5.0,,retail_site,en
REV-856772325,"2024-08-27",CUST-284171,PRD-66155,ORD-8837513,5.0,Firmware update fixed the glitch,support_followup,en
REV-327009306,"2025-04-13",CUST-882544,PRD-63354,,3.0,Pairing issues with my phone,support_followup,en
REV-351881384,"2024-10-19",CUST-926403,PRD-99353,ORD-6432562,4.0,Build quality feels premium,app,en
REV-871207627,"2024-09-21",CUST-456005,PRD-65518,ORD-7145027,4.0,"Great for calls, mic is solid",retail_site,en
