campaign_id,campaign_name,campaign_type,objective,start_date,end_date
CMP-198406,Flash_Deal,Promo,Awareness,02/05/2025,2025-03-22
CMP-663852,Holiday_Blast,Affiliate,Conversion,2025-05-31,
CMP-580870,Campus_Promo,Affiliate,Conversion,2025-10-12,
CMP-447115,Flash_Deal,Paid Social,Consideration,2024-02-17,
CMP-199315,Spring_Sound,Retail Coop,Conversion,2025-10-02,
CMP-164076,Spring_Sound,Influencer,Consideration,2024-04-24,
CMP-755331,Flash_Deal,Promo,Conversion,2024-03-06,
CMP-591461,PortablePA_Weekend,Promo,Consideration,2024-02-04,
CMP-723330,Aviation_Push,Paid Search,Awareness,2024-06-03,
CMP-264052,Studio_Refresh,Email,Retention,2024-11-13,
CMP-170015,HomeTheater_Upgrade,Influencer,Consideration,2025-08-03,
CMP-467476,Campus_Promo,Paid Social,Conversion,2024-01-03,
CMP-767254,Studio_Refresh,Influencer,Consideration,2025-03-11,
CMP-686317,Partner_Sale,Promo,Conversion,2024-09-22,
CMP-337009,Partner_Sale,Paid Search,Retention,2025-10-11,
CMP-461714,Spring_Sound,Retail Coop,Awareness,2025-03-15,
CMP-759367,Partner_Sale,Email,Conversion,2024-03-09,
CMP-114815,PortablePA_Weekend,Retail Coop,Conversion,2024-03-11,
CMP-301998,Aviation_Push,Paid Social,Conversion,2024-03-08,
CMP-387918,Partner_Sale,Influencer,Conversion,2025-04-04,
CMP-397992,Holiday_Blast,Paid Social,Retention,2024-01-16,
CMP-960623,Aviation_Push,Promo,Awareness,09/04/2025,2025-09-11
CMP-546867,PortablePA_Weekend,Paid Social,Consideration,2025-05-10,
CMP-712859,Studio_Refresh,Retail Coop,Retention,2024-03-04,
CMP-864750,Aviation_Push,Paid Search,Conversion,2024-07-10,
CMP-420602,Aviation_Push,Paid Social,Awareness,2025-06-12,
CMP-485115,Studio_Refresh,Affiliate,Conversion,2025-11-02,
CMP-754836,PortablePA_Weekend,Paid Search,Conversion,2025-08-10,
CMP-904246,Partner_Sale,Influencer,Consideration,08/29/2024,2024-09-05
CMP-522857,Spring_Sound,Email,Consideration,2025-07-02,
CMP-367124,Campus_Promo,Email,Conversion,2024-08-04,
CMP-688368,Studio_Refresh,Promo,Awareness,2024-09-02,
CMP-667297,Studio_Refresh,Promo,Conversion,2025-10-10,
CMP-772765,Studio_Refresh,Affiliate,Conversion,2025-11-17,
CMP-791397,Studio_Refresh,Influencer,Consideration,2024-08-17,
CMP-312429,Campus_Promo,Retail Coop,Consideration,2024-12-07,
CMP-181239,Campus_Promo,Email,Consideration,2025-01-15,
CMP-721427,Partner_Sale,Email,Consideration,2024-10-09,
CMP-259825,Flash_Deal,Email,Conversion,2025-05-13,
CMP-207978,Flash_Deal,Retail Coop,Consideration,2025-10-06,
CMP-866150,BackToSchool,Email,Conversion,2025-10-08,
CMP-326955,Studio_Refresh,Paid Social,Consideration,2025-10-10,
CMP-393586,Studio_Refresh,Influencer,Consideration,2024-04-30,
CMP-286987,Aviation_Push,Paid Search,Awareness,2024-06-12,
CMP-375710,Flash_Deal,Paid Search,Awareness,2024-12-02,
CMP-691040,Partner_Sale,Affiliate,Awareness,2025-09-21,
CMP-207292,Spring_Sound,Paid Social,Consideration,2024-08-12,
CMP-232858,BackToSchool,Email,Retention,2025-06-27,
CMP-935593,BackToSchool,Email,Conversion,2025-03-04,
CMP-647689,Partner_Sale,Promo,Consideration,2025-09-08,
CMP-715846,Spring_Sound,Promo,Awareness,2025-02-02,
CMP-776153,Aviation_Push,Affiliate,Awareness,2024-07-19,
CMP-903266,Campus_Promo,Email,Consideration,07/21/2024,2024-08-04
CMP-501548,HomeTheater_Upgrade,Affiliate,Consideration,2024-03-30,
CMP-446198,Flash_Deal,Paid Social,Consideration,2025-05-05,
CMP-703618,Studio_Refresh,Paid Search,Awareness,2024-04-18,
CMP-909478,Partner_Sale,Email,Awareness,2024-09-07,
CMP-994854,Flash_Deal,Influencer,Awareness,2024-10-20,
CMP-720935,Studio_Refresh,Retail Coop,Awareness,2024-01-27,
CMP-734152,HomeTheater_Upgrade,Paid Social,Conversion,2024-03-22,
CMP-390704,HomeTheater_Upgrade,Email,Awareness,2025-11-06,
CMP-946514,Campus_Promo,Retail Coop,Consideration,2024-05-03,
CMP-873078,PortablePA_Weekend,Influencer,Conversion,2024-09-16,
CMP-745804,HomeTheater_Upgrade,Promo,Retention,2024-03-18,
CMP-800969,Flash_Deal,Affiliate,Retention,2024-10-05,
CMP-596403,Holiday_Blast,Promo,Conversion,2024-12-28,
CMP-319473,Holiday_Blast,Paid Search,Awareness,08/07/2025,2025-09-06
CMP-276264,Studio_Refresh,Promo,Conversion,2025-09-20,
CMP-102800,Studio_Refresh,Email,Conversion,2025-04-06,
CMP-921417,PortablePA_Weekend,Influencer,Awareness,2024-12-03,
CMP-343092,Holiday_Blast,Promo,Conversion,2025-01-02,
CMP-326957,Studio_Refresh,Email,Retention,2024-07-15,
CMP-195775,HomeTheater_Upgrade,Paid Search,Consideration,2025-04-11,
CMP-942377,Studio_Refresh,Retail Coop,Awareness,2025-06-11,
CMP-744794,BackToSchool,Influencer,Awareness,2024-02-01,
CMP-253607,PortablePA_Weekend,Promo,Consideration,2025-11-12,
CMP-250295,Partner_Sale,Affiliate,Awareness,2025-11-30,
CMP-272824,Spring_Sound,Affiliate,Conversion,2024-03-24,
CMP-598560,Aviation_Push,Influencer,Conversion,2025-08-24,
CMP-100258,Spring_Sound,Affiliate,Awareness,2025-03-24,
CMP-439044,Spring_Sound,Promo,Retention,2024-01-23,
CMP-181566,Campus_Promo,Promo,Consideration,2024-05-09,
CMP-154724,Partner_Sale,Influencer,Awareness,2025-11-19,
CMP-243628,Studio_Refresh,Promo,Conversion,2025-06-25,
CMP-636561,Campus_Promo,Retail Coop,Conversion,2024-06-03,
CMP-946446,Spring_Sound,Email,Conversion,2025-03-17,
CMP-561047,BackToSchool,Paid Search,Retention,2024-04-10,
CMP-546070,Aviation_Push,Retail Coop,Conversion,2025-09-04,
CMP-797137,Spring_Sound,Retail Coop,Retention,2024-03-11,
CMP-594601,Holiday_Blast,Affiliate,Consideration,2025-08-17,
CMP-442978,Partner_Sale,Email,Conversion,2024-09-25,
CMP-417255,Partner_Sale,Influencer,Retention,2024-05-08,
CMP-624681,Partner_Sale,Affiliate,Conversion,2025-05-26,
CMP-896925,PortablePA_Weekend,Email,Awareness,2025-11-16,
