claim_id,claim_date,order_id,device_id,issue_type,severity,warranty_approved,replacement_ship_days,notes
CLM-713467865,2025-07-08,ORD-5769418,DEV-6376313776,Software,low,1.0,,no fault found
CLM-881997303,2025-01-05,ORD-5949722,DEV-9438433486,Battery,low,0.0,,customer reports intermittent issue
CLM-606125735,2024-10-11,ORD-6325265,DEV-5978415556,Connectivity,low,1.0,10.0,customer reports intermittent issue
CLM-214226755,2024-11-15,ORD-8193067,DEV-4298728712,Sound Distortion,low,1.0,5.0,no fault found
CLM-559793936,2025-11-24,ORD-6989312,DEV-9542190821,Software,med,1.0,7.0,customer reports intermittent issue
CLM-459758935,2025-07-13,ORD-3081068,DEV-8502615799,Software,high,0.0,3.0,repeat failure
CLM-392229518,2024-11-13,ORD-6226104,DEV-8917580971,Sound Distortion,,1.0,3.0,
CLM-324220591,2025-08-07,ORD-4288287,DEV-2686888206,,,1.0,5.0,customer reports intermittent issue
CLM-141877861,2025-10-17,ORD-3042023,DEV-7519430020,,high,1.0,7.0,
CLM-342333925,2025-12-14,ORD-7054598,DEV-3417615747,Software,low,1.0,7.0,customer reports intermittent issue
CLM-129289374,2024-12-30,ORD-9954050,DEV-1108393907,Sound Distortion,med,0.0,7.0,customer reports intermittent issue
CLM-190369971,2025-11-04,ORD-2647718,DEV-2510645737,Overheating,low,1.0,5.0,customer reports intermittent issue
CLM-843856762,2025-07-16,ORD-7250446,DEV-7447635471,Connectivity,low,1.0,7.0,needs firmware
CLM-446388661,2025-06-14,ORD-9077589,DEV-7459066444,Mic issues,low,0.0,5.0,customer reports intermittent issue
CLM-273432699,2024-06-08,ORD-6458906,DEV-6075646820,,low,1.0,5.0,repeat failure
CLM-152629362,2025-05-26,ORD-9140144,DEV-3153681540,Software,low,1.0,5.0,no fault found
CLM-716250882,2024-06-24,ORD-9311581,DEV-9685140239,Connectivity,med,0.0,2.0,needs firmware
CLM-550875033,2025-08-16,ORD-5546177,DEV-5969760256,Battery,low,1.0,3.0,customer reports intermittent issue
CLM-276495675,2025-05-29,ORD-3889033,DEV-5845751559,Sound Distortion,low,1.0,,repeat failure
CLM-778642778,2025-12-18,ORD-6935879,DEV-7702435323,Sound Distortion,med,1.0,3.0,needs firmware
CLM-464468875,2024-05-09,ORD-6562156,DEV-1788855979,Connectivity,low,0.0,7.0,no fault found
CLM-239965848,2024-04-29,ORD-1271357,DEV-5071572251,Software,low,1.0,2.0,
CLM-529648243,2025-03-24,ORD-5832475,DEV-1065877492,Physical Damage,med,,5.0,
CLM-859571035,2025-08-24,ORD-7946257,DEV-6831373929,Physical Damage,low,1.0,3.0,customer reports intermittent issue
CLM-248107377,2024-03-29,ORD-6347006,DEV-7750735836,Mic issues,critical,1.0,,no fault found
CLM-332283588,2024-02-19,ORD-9743375,DEV-1657972270,Battery,high,,2.0,
CLM-174885099,2025-08-08,ORD-8876923,DEV-8782781864,Software,med,1.0,5.0,
CLM-135307852,2024-12-12,ORD-6658429,DEV-5530042120,Software,low,1.0,5.0,
CLM-364187667,2025-09-08,ORD-5659990,DEV-1616533758,Overheating,high,1.0,5.0,repeat failure
CLM-601465600,2025-12-20,ORD-1522825,DEV-6427239597,Physical Damage,low,1.0,7.0,no fault found
CLM-371531607,2024-09-04,ORD-7500511,DEV-8993261834,Sound Distortion,low,1.0,3.0,customer reports intermittent issue
CLM-726906178,2024-11-03,ORD-5044020,DEV-7255714103,Connectivity,med,0.0,5.0,customer reports intermittent issue
CLM-667815798,2025-10-08,ORD-4051414,DEV-7356537389,Connectivity,high,1.0,5.0,customer reports intermittent issue
CLM-269757703,2025-02-09,ORD-9809610,DEV-3887367173,Overheating,med,1.0,3.0,repeat failure
CLM-121471120,2025-04-25,ORD-6748512,DEV-4014243269,Mic issues,high,0.0,5.0,customer reports intermittent issue
CLM-728750153,2024-11-26,ORD-4279299,DEV-6012217942,Software,med,1.0,7.0,needs firmware
CLM-732528557,08/19/2025,ORD-7870755,DEV-2852383853,Software,med,1.0,10.0,customer reports intermittent issue
CLM-852986979,2025-09-02,ORD-1861456,DEV-5616598701,Battery,low,1.0,5.0,customer reports intermittent issue
CLM-118278332,2025-01-08,ORD-2693436,DEV-7157631429,Physical Damage,high,1.0,2.0,no fault found
CLM-664539118,2025-02-14,ORD-1251766,DEV-6414762721,Connectivity,high,0.0,2.0,repeat failure
CLM-318407156,2025-11-03,ORD-8774351,DEV-1652147887,,high,0.0,,
CLM-725707958,2024-12-12,ORD-2009121,DEV-9164718693,Software,med,,5.0,customer reports intermittent issue
CLM-241138735,2024-08-06,ORD-3440925,DEV-6221968625,Connectivity,low,1.0,10.0,customer reports intermittent issue
CLM-505822650,12/01/2024,ORD-8355633,DEV-7704291686,Physical Damage,high,1.0,,no fault found
CLM-799430870,2024-06-04,ORD-4694894,DEV-8403776650,Software,low,0.0,5.0,customer reports intermittent issue
CLM-914145762,2025-08-20,ORD-3443127,DEV-2481565033,Software,med,1.0,3.0,
CLM-465554740,2024-11-27,ORD-4434447,DEV-1061607195,Battery,med,1.0,3.0,
CLM-719305828,2024-05-27,ORD-1443839,DEV-6109155930,Physical Damage,high,1.0,3.0,customer reports intermittent issue
CLM-243665838,2025-02-19,OR-9008375,DEV-8306085746,,low,0.0,3.0,repeat failure
CLM-664223637,2024-06-01,ORD-4372199,DEV-5692994565,Connectivity,critical,1.0,3.0,customer reports intermittent issue
CLM-635318412,2024-08-08,ORD-8415787,DEV-5849922957,Software,low,1.0,3.0,needs firmware
CLM-338653532,2024-06-15,ORD-1071862,DEV-3243541754,Sound Distortion,med,1.0,7.0,
CLM-984082419,2024-01-01,ORD-5757801,DEV-2442686017,Connectivity,high,,2.0,
CLM-335976397,2024-10-27,ORD-4223149,DEV-1900814340,Software,high,0.0,3.0,customer reports intermittent issue
